,Date,Adj Close
0,2019-04-01,211.94
1,2019-04-02,212.13
2,2019-04-03,213.13
3,2019-04-04,215.03
4,2019-04-05,215.41
5,2019-04-08,215.02
6,2019-04-09,211.96
7,2019-04-10,212.11
8,2019-04-11,213.53
9,2019-04-12,217.42
