Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,271.13,275.62,271.13,274.11,274.11,759200
2019-04-02,274.35,275.54,272.6,273.33,273.33,542700
2019-04-03,273.88,273.88,264.5,266.76,266.76,1321500
2019-04-04,267.51,273.1,266.74,271.01,271.01,1129100
2019-04-05,274.8,276.36,272.22,276.3,276.3,734400
2019-04-08,275.0,277.22,273.48,276.9,276.9,607600
2019-04-09,275.27,276.22,272.7,273.47,273.47,484200
2019-04-10,272.98,273.87,269.42,270.53,270.53,774500
2019-04-11,272.05,277.92,271.52,277.39,277.39,661900
2019-04-12,278.26,283.35,278.26,283.05,283.05,1108700
